[2022-04-07 21:04:10,701] Pre-Condition - step 01 Open page with 'chrome'
[2022-04-07 21:04:15,414] Pre-Condition - step 02: Initialization 'Login' page
[2022-04-07 21:04:15,685] Login As Admin - step 01: Enter to userName with 'admin01'
[2022-04-07 21:04:15,686] Login As Admin - step 02: Enter to Password with '123456'
[2022-04-07 21:04:16,301] Login As Admin - step 03: Verify login success
[2022-04-07 21:04:16,719]  -------------------------- PASSED -------------------------- 
[2022-04-07 21:04:52,440] Pre-Condition - step 01 Open page with 'chrome'
[2022-04-07 21:04:56,997] Pre-Condition - step 02: Initialization 'Login' page
[2022-04-07 21:04:57,283] Login As Admin - step 01: Enter to userName with 'admin01'
[2022-04-07 21:04:57,284] Login As Admin - step 02: Enter to Password with '123456'
[2022-04-07 21:04:57,852] Login As Admin - step 03: Verify login success
[2022-04-07 21:04:58,334]  -------------------------- PASSED -------------------------- 
[2022-04-07 21:07:58,339] Pre-Condition - step 01 Open page with 'chrome'
[2022-04-07 21:08:02,943] Pre-Condition - step 02: Initialization 'Login' page
[2022-04-07 21:08:03,223] Login As Admin - step 01: Enter to userName with 'admin01'
[2022-04-07 21:08:03,224] Login As Admin - step 02: Enter to Password with '123456'
[2022-04-07 21:08:03,783] Login As Admin - step 03: Verify login success
[2022-04-07 21:08:04,171]  -------------------------- PASSED -------------------------- 
[2022-04-07 21:59:09,966] Pre-Condition - step 01 Open page with 'chrome'
[2022-04-07 21:59:18,574] Pre-Condition - step 02: Initialization 'Login' page
[2022-04-07 21:59:19,036] Login As Admin - step 01: Enter to userName with 'admin01'
[2022-04-07 21:59:19,271] Login As Admin - step 02: Enter to Password with '123456'
[2022-04-07 21:59:19,506] Login As Admin - step 03: Click to login button
[2022-04-07 21:59:19,626] Login As Admin - step 04: Verify login success
[2022-04-07 21:59:20,004]  -------------------------- PASSED -------------------------- 
[2022-04-07 22:40:00,121] Pre-Condition - step 01 Open page with 'chrome'
[2022-04-07 22:40:06,535] Pre-Condition - step 02: Initialization 'Login' page
[2022-04-07 22:40:06,714] Login As Admin - step 01: Enter to userName with 'admin01'
[2022-04-07 22:40:06,956] Login As Admin - step 02: Enter to Password with '123456'
[2022-04-07 22:40:07,145] Login As Admin - step 03: Click to login button
[2022-04-07 22:40:07,275] Login As Admin - step 04: Verify login success
[2022-04-07 22:40:07,835]  -------------------------- PASSED -------------------------- 
[2022-04-07 22:40:08,036] Add Employee - step 01: Open page Employee
[2022-04-07 22:40:20,325] Add Employee - step 02: Verify List Employee
[2022-04-07 22:40:20,478]  -------------------------- PASSED -------------------------- 
[2022-04-07 23:32:28,515] Pre-Condition - step 01 Open page with 'chrome'
[2022-04-07 23:32:34,419] Pre-Condition - step 02: Initialization 'Login' page
[2022-04-07 23:32:34,807] Login As Admin - step 01: Enter to userName with 'admin01'
[2022-04-07 23:32:35,024] Login As Admin - step 02: Enter to Password with '123456'
[2022-04-07 23:32:35,207] Login As Admin - step 03: Click to login button
[2022-04-07 23:32:35,327] Login As Admin - step 04: Verify login success
[2022-04-07 23:32:35,715]  -------------------------- PASSED -------------------------- 
[2022-04-07 23:32:35,930] Add Employee - step 01: Open page Employee
[2022-04-07 23:32:43,021] Add Employee - step 02: Verify List Employee
[2022-04-07 23:32:43,200]  -------------------------- PASSED -------------------------- 
[2022-04-07 23:32:43,200] Add Employee - step 03: Click to 'Thêm mới'
[2022-04-07 23:32:43,374] Add Employee - step 04: Sendkey to 'Tên' 'Automation'
[2022-04-07 23:32:43,599] Add Employee - step 05: Sendkey to 'Họ' 'Testing'
[2022-04-07 23:32:43,833] Add Employee - step 06: Sendkey to 'Số điện thoại' '1234567555'
[2022-04-07 23:32:44,006] Add Employee - step 07: Sendkey to 'Email' 'autotesting6161@gmail.com'
[2022-04-07 23:32:44,214] Add Employee - step 08: Sendkey to 'Tên người dùng' 'autotesting8935'
[2022-04-07 23:32:44,418] Add Employee - step 09: Sendkey to 'Mật khẩu' '123456'
[2022-04-07 23:32:44,585] Add Employee - step 10: Selected to 'Office Shift' 'Office Shift 01'
[2022-04-07 23:32:44,585] Add Employee - step 11: Selected to 'Vai trò' 'Nhân viên'
[2022-04-07 23:32:44,586] Add Employee - step 12: Selected to 'Khoa' 'QA'
[2022-04-07 23:32:44,586] Add Employee - step 13: Selected to 'Chỉ định' 'Manual'
[2022-04-07 23:32:44,586] Add Employee - step 14: Sendkey to 'Mức Lương Cơ Bản' '40000000'
[2022-04-07 23:32:44,586] Add Employee - step 15: Sendkey to 'Tỷ lệ hàng giờ' '70'
[2022-04-07 23:32:44,586] Add Employee - step 16: click to button 'Lưu' '
[2022-04-07 23:33:24,089] Pre-Condition - step 01 Open page with 'chrome'
[2022-04-07 23:33:28,408] Pre-Condition - step 02: Initialization 'Login' page
